0h 0m 6s,11/3/2013 22:07,Gateway Park,30091,11/3/2013 22:07,Gateway Park,30091,N01664
0h 0m 9s,11/3/2013 22:02,6th Ave. SE & University Ave.,30088,11/3/2013 22:02,6th Ave. SE & University Ave.,30088,N00661
0h 1m 55s,11/3/2013 22:02,YWCA Downtown,30006,11/3/2013 22:04,Nicollet Mall and Grant Street,30052,N01780
0h 2m 14s,11/3/2013 21:59,25th Street & 33rd. Ave. S.,30001,11/3/2013 22:01,Franklin & 28th Ave,30045,N00301
0h 3m 1s,11/3/2013 21:59,25th Street & 33rd. Ave. S.,30001,11/3/2013 22:02,Franklin & 28th Ave,30045,N01663
0h 20m 43s,11/3/2013 21:59,St. Paul Police Western District,30111,11/3/2013 22:20,Sherburne Ave & Snelling Ave N,30079,N01090
0h 2m 59s,11/3/2013 21:59,25th Street & 33rd. Ave. S.,30001,11/3/2013 22:02,Franklin & 28th Ave,30045,N00405
0h 3m 27s,11/3/2013 21:59,25th Street & 33rd. Ave. S.,30001,11/3/2013 22:02,Franklin & 28th Ave,30045,N00451
0h 3m 11s,11/3/2013 21:58,25th Street & 33rd. Ave. S.,30001,11/3/2013 22:02,Franklin & 28th Ave,30045,N01940
0h 6m 58s,11/3/2013 21:55,South 2nd Street & 3rd Ave. S,30030,11/3/2013 22:02,6th Ave. SE & University Ave.,30088,N00661
0h 14m 30s,11/3/2013 21:51,Plymouth Ave. N & Fremont,30066,11/3/2013 22:06,Gateway Park,30091,N01664
0h 8m 50s,11/3/2013 21:46,6th Ave. SE & University Ave.,30088,11/3/2013 21:55,South 2nd Street & 3rd Ave. S,30030,N01695
0h 16m 11s,11/3/2013 21:46,Cedar Ave & 5th Street S,30038,11/3/2013 22:02,Franklin & 28th Ave,30045,N00962
0h 12m 45s,11/3/2013 21:46,Cedar Ave & 5th Street S,30038,11/3/2013 21:58,25th Street & 33rd. Ave. S.,30001,N00451
0h 13m 5s,11/3/2013 21:45,Cedar Ave & 5th Street S,30038,11/3/2013 21:59,25th Street & 33rd. Ave. S.,30001,N00405
0h 12m 36s,11/3/2013 21:45,Cedar Ave & 5th Street S,30038,11/3/2013 21:58,25th Street & 33rd. Ave. S.,30001,N01940
0h 12m 58s,11/3/2013 21:45,Cedar Ave & 5th Street S,30038,11/3/2013 21:58,25th Street & 33rd. Ave. S.,30001,N01938
0h 13m 24s,11/3/2013 21:45,Cedar Ave & 5th Street S,30038,11/3/2013 21:59,25th Street & 33rd. Ave. S.,30001,N01663
0h 9m 58s,11/3/2013 21:41,West Broadway & Logan Ave N,30070,11/3/2013 21:51,Plymouth Ave. N & Fremont,30066,N01664
0h 5m 9s,11/3/2013 21:39,Sherburne Ave & Snelling Ave N,30079,11/3/2013 21:44,St. Paul Police Western District,30111,N01090
0h 4m 55s,11/3/2013 21:36,McNamara Center,30057,11/3/2013 21:41,Elliot Hall,30058,C00482
0h 12m 57s,11/3/2013 21:18,West 32nd Street & Bryant Ave S,30094,11/3/2013 21:31,Dupont Ave S & Lake Street,30160,C00551
0h 19m 9s,11/3/2013 21:07,Gateway Park,30091,11/3/2013 21:26,22nd Street & Lyndale,30017,N01140
0h 3m 21s,11/3/2013 21:07,Chicago Ave & Washington Ave S,30143,11/3/2013 21:10,South 2nd Street & 3rd Ave. S,30030,N00463
0h 5m 38s,11/3/2013 21:07,Williamson Hall,30025,11/3/2013 21:12,15th Ave. SE & Como Ave. SE,30110,N00262
0h 4m 59s,11/3/2013 21:06,Williamson Hall,30025,11/3/2013 21:11,15th Ave. SE & Como Ave. SE,30110,N00557
0h 3m 39s,11/3/2013 20:56,IDS Center,30042,11/3/2013 21:00,Mpls. Convention Center,30012,C00507
0h 9m 41s,11/3/2013 20:49,11th Street & Marquette,30040,11/3/2013 20:59,N 4th Ave & W River Parkway,30144,N01907
0h 17m 30s,11/3/2013 20:42,11th Street & Hennepin,30004,11/3/2013 20:59,Cedar Ave & 5th Street S,30038,N00962
0h 17m 58s,11/3/2013 20:41,11th Street & Hennepin,30004,11/3/2013 20:59,Cedar Ave & 5th Street S,30038,N01663
0h 9m 53s,11/3/2013 20:41,Hennepin Ave. & 4th Street,30055,11/3/2013 20:51,YWCA Downtown,30006,N00173
0h 18m 25s,11/3/2013 20:41,11th Street & Hennepin,30004,11/3/2013 20:59,Cedar Ave & 5th Street S,30038,N01940
0h 18m 35s,11/3/2013 20:41,11th Street & Hennepin,30004,11/3/2013 20:59,Cedar Ave & 5th Street S,30038,N00451
0h 18m 36s,11/3/2013 20:41,11th Street & Hennepin,30004,11/3/2013 20:59,Cedar Ave & 5th Street S,30038,N01938
0h 25m 53s,11/3/2013 20:41,11th Street & Hennepin,30004,11/3/2013 21:07,Lake Street & Lyndale,30013,N00585
0h 18m 54s,11/3/2013 20:41,11th Street & Hennepin,30004,11/3/2013 20:59,Cedar Ave & 5th Street S,30038,N00405
0h 17m 11s,11/3/2013 20:39,Social Sciences,30019,11/3/2013 20:56,27th Ave SE & University Ave.,30074,N00047
0h 6m 11s,11/3/2013 20:17,27th Ave SE & University Ave.,30074,11/3/2013 20:23,Mayo Memorial Building,30026,N00641
0h 4m 45s,11/3/2013 20:00,4th Street & 13th Ave. SE,30009,11/3/2013 20:05,McNamara Center,30057,N00078
0h 32m 40s,11/3/2013 19:58,Minnehaha Park,30149,11/3/2013 20:30,Minnehaha Park,30149,N01019
0h 4m 17s,11/3/2013 19:43,Washington & Cedar,30015,11/3/2013 19:47,Coffman Memorial Union,30024,C00509
0h 4m 51s,11/3/2013 19:38,Girard Ave N & W Broadway Ave,30068,11/3/2013 19:43,Plymouth Ave. N & Fremont,30066,N01826
0h 9m 26s,11/3/2013 19:35,5th Ave N & 4th Street N,30056,11/3/2013 19:44,100 Main Street SE,30000,N00909
0h 8m 49s,11/3/2013 19:33,Portland Ave. & Washington Ave.,30090,11/3/2013 19:42,YWCA Downtown,30006,N01780
0h 3m 28s,11/3/2013 19:33,University & Bank Street SE,30047,11/3/2013 19:36,6th Ave. SE & University Ave.,30088,N00280
0h 12m 47s,11/3/2013 19:31,North 2nd Street & 4th Ave. N,30011,11/3/2013 19:43,West 15th Street & Willow,30093,N00999
18h 44m 16s,11/3/2013 19:29,YWCA Downtown,30006,11/4/2013 14:14,Loring Park,30035,N00910
0h 16m 5s,11/3/2013 19:23,Lake Street & Lyndale,30013,11/3/2013 19:40,11th Street & Hennepin,30004,N01940
0h 15m 54s,11/3/2013 19:24,Lake Street & Lyndale,30013,11/3/2013 19:39,11th Street & Hennepin,30004,N00540
0h 17m 10s,11/3/2013 19:23,Lake Street & Lyndale,30013,11/3/2013 19:40,11th Street & Hennepin,30004,N00585
0h 16m 45s,11/3/2013 19:23,Lake Street & Lyndale,30013,11/3/2013 19:40,11th Street & Hennepin,30004,N01722
0h 17m 26s,11/3/2013 19:23,Lake Street & Lyndale,30013,11/3/2013 19:40,11th Street & Hennepin,30004,N00405
0h 16m 49s,11/3/2013 19:23,Lake Street & Lyndale,30013,11/3/2013 19:39,11th Street & Hennepin,30004,N01663
0h 2m 50s,11/3/2013 19:22,6th Ave. SE & University Ave.,30088,11/3/2013 19:25,University & Bank Street SE,30047,N00280
0h 5m 59s,11/3/2013 19:18,Grand Ave & Fairview Ave,30085,11/3/2013 19:24,University of St. Thomas,30155,N00653
0h 3m 10s,11/3/2013 19:10,Bryant Ave. N & West Broadway,30067,11/3/2013 19:13,Girard Ave N & W Broadway Ave,30068,N01826
0h 13m 6s,11/3/2013 19:10,N 4th Ave & W River Parkway,30144,11/3/2013 19:23,11th Street & Marquette,30040,N00951
0h 6m 48s,11/3/2013 19:03,Nicollet & Franklin,30060,11/3/2013 19:09,IDS Center,30042,C00423
0h 3m 46s,11/3/2013 19:01,IDS Center,30042,11/3/2013 19:05,Washington & Marquette,30028,C00321
0h 3m 0s,11/3/2013 19:00,Hennepin Ave. & 4th Street,30055,11/3/2013 19:03,5th Ave N & 4th Street N,30056,N00022
0h 2m 52s,11/3/2013 18:53,Oak Street Ramp,30034,11/3/2013 18:56,Mayo Memorial Building,30026,N00393
0h 8m 49s,11/3/2013 18:53,MCAD,30018,11/3/2013 19:02,11th Street & Marquette,30040,N09997
0h 13m 4s,11/3/2013 18:52,Hennepin Ave. & 4th Street,30055,11/3/2013 19:05,University Ave. NE & 12th Ave. NE,30096,N01098
0h 10m 4s,11/3/2013 18:52,MCAD,30018,11/3/2013 19:02,11th Street & Marquette,30040,N01907
0h 11m 37s,11/3/2013 18:52,MCAD,30018,11/3/2013 19:04,IDS Center,30042,N00014
0h 11m 25s,11/3/2013 18:53,MCAD,30018,11/3/2013 19:04,IDS Center,30042,N00541
0h 5m 53s,11/3/2013 18:51,MCAD,30018,11/3/2013 18:57,Nicollet & Franklin,30060,C00423
0h 6m 20s,11/3/2013 18:51,Nicollet Ave & W 26th Street,30049,11/3/2013 18:58,Mpls. Convention Center,30012,N00700
0h 3m 35s,11/3/2013 18:43,Washington & Marquette,30028,11/3/2013 18:46,IDS Center,30042,C00321
0h 10m 29s,11/3/2013 18:38,McNamara Center,30057,11/3/2013 18:48,15th Ave. SE & Como Ave. SE,30110,N01990
0h 5m 13s,11/3/2013 18:36,Plymouth Ave. N & Fremont,30066,11/3/2013 18:42,Bryant Ave. N & West Broadway,30067,N01826
0h 8m 3s,11/3/2013 18:34,YWCA Downtown,30006,11/3/2013 18:42,Portland Ave. & Washington Ave.,30090,N01970
0h 4m 34s,11/3/2013 18:29,IDS Center,30042,11/3/2013 18:34,South 2nd Street & 3rd Ave. S,30030,N01071
0h 6m 15s,11/3/2013 18:23,West 15th Street & Willow,30093,11/3/2013 18:30,IDS Center,30042,N01139
0h 15m 32s,11/3/2013 18:15,Midtown YWCA,30080,11/3/2013 18:31,Lake Street & Lyndale,30013,N00343
0h 9m 36s,11/3/2013 18:15,3rd Street S & 2nd Ave. S,30050,11/3/2013 18:25,Washington & Cedar,30015,N01737
0h 6m 0s,11/3/2013 18:15,Washington & Marquette,30028,11/3/2013 18:21,Chicago Ave & Washington Ave S,30143,N00463
0h 2m 42s,11/3/2013 18:14,Mayo Memorial Building,30026,11/3/2013 18:17,Oak Street Ramp,30034,N00393
0h 8m 35s,11/3/2013 18:12,15th Ave. SE & Como Ave. SE,30110,11/3/2013 18:20,McNamara Center,30057,N01990
0h 12m 40s,11/3/2013 18:01,26th Street & Hennepin,30044,11/3/2013 18:14,Lake Calhoun Center,30089,N00184
0h 8m 0s,11/3/2013 18:00,Coffman Memorial Union,30024,11/3/2013 18:08,6th Ave. SE & University Ave.,30088,N00280
0h 22m 28s,11/3/2013 18:01,Macalester College,30086,11/3/2013 18:23,Landmark Plaza,30127,N00292
0h 19m 31s,11/3/2013 17:56,Walker Art Center,30016,11/3/2013 18:15,North 2nd Street & 4th Ave. N,30011,N00080
0h 14m 6s,11/3/2013 17:40,Mayo Memorial Building,30026,11/3/2013 17:55,Portland Ave. & Washington Ave.,30090,N01150
0h 20m 6s,11/3/2013 17:37,Upton Ave S & Sheridan Ave S,30165,11/3/2013 17:57,Lake Street & Humboldt,30043,N00650
